transaction_id,customer_id,product_id,transaction_date,amount,quantity,status
TXN001,CUST001,PROD101,2024-01-25T10:15:00Z,99.99,2,completed
TXN002,CUST002,PROD102,2024-01-25T11:30:00Z,149.99,1,completed
TXN003,CUST001,PROD103,2024-01-25T14:20:00Z,79.99,3,completed
TXN004,CUST003,PROD101,2024-01-26T09:45:00Z,99.99,1,completed
TXN005,CUST004,PROD104,2024-01-26T13:10:00Z,199.99,1,completed
TXN006,CUST002,PROD105,2024-01-26T15:35:00Z,49.99,2,completed
TXN007,CUST005,PROD102,2024-01-27T10:20:00Z,149.99,1,pending
TXN008,CUST006,PROD103,2024-01-27T11:50:00Z,79.99,2,completed
TXN009,CUST003,PROD106,2024-01-27T14:15:00Z,299.99,1,completed
TXN010,CUST007,PROD101,2024-01-28T09:30:00Z,99.99,1,completed
TXN011,CUST008,PROD107,2024-01-28T12:45:00Z,129.99,3,completed
TXN012,CUST004,PROD102,2024-01-28T16:20:00Z,149.99,1,failed
TXN013,CUST009,PROD105,2024-01-29T10:00:00Z,49.99,4,completed
TXN014,CUST010,PROD108,2024-01-29T13:25:00Z,399.99,1,completed
TXN015,CUST001,PROD104,2024-01-29T15:40:00Z,199.99,2,completed
